,distance,Thin,Thick
0,1.0,1.2907667025366832e-11,1.821844101968769e-12
1,1.1097141176463292,1.763933472479319e-11,2.489685908778844e-12
2,1.231465422903571,2.4105542369674047e-11,3.4023416019725692e-12
3,1.3665745651894,3.2942149298634494e-11,4.649553770872438e-12
4,1.516507087807071,4.501811912843258e-11,6.353962386442889e-12
5,1.682889324850228,6.152097969914602e-11,8.683164165818875e-12
6,1.8675260422225974,8.407361718539572e-11,1.186619260759113e-11
7,2.072420014126591,1.1489389527372047e-10,1.6216039213174988e-11
8,2.2997937473690833,1.5701280571387671e-10,2.2160430456028834e-11
9,2.5521135891302267,2.145726193624812e-10,3.028388687384344e-11
10,2.8321164796948564,2.93234385752482e-10,4.1385200070049926e-11
11,3.1428396403362053,4.0073490241360046e-10,5.6555979517188457e-11
12,3.4876535183795982,5.476480077494116e-10,7.728799294877512e-11
13,3.8702983468047316,7.484252016326255e-10,1.0561985556097861e-10
14,4.29492471495246,1.022818163771308e-09,1.443374926741387e-10
15,4.766138590410881,1.3978234594364116e-09,1.9724808847154702e-10
16,5.2890512804379295,1.9103413506664163e-09,2.6955446001054664e-10
17,5.869334874857365,2.6108113232768265e-09,3.6836667165420974e-10
18,6.513283771823168,3.5681837784828497e-09,5.034012017964814e-10
19,7.227882953828904,4.876720066078628e-09,6.879364188726318e-10
20,8.020883754559184,6.665295077638157e-09,9.401183316881665e-10
21,8.90088793843442,9.110126500742227e-09,1.2847450301418496e-09
22,9.877441004868608,1.245219818677604e-08,1.7557053163328153e-09
23,10.961135729321438,1.7021117448219857e-08,2.399311376446318e-09
24,12.163727064265592,2.3267796926061778e-08,3.2788532947561434e-09
25,13.498259646412265,3.180925001134463e-08,4.48082342165032e-09
26,14.979209293279437,4.349003153967224e-08,6.123422916346278e-09
27,16.622640023931293,5.9466579213696626e-08,8.368187379078335e-09
28,18.44637830710947,8.132310978256979e-08,1.1435875502936182e-08
29,20.470206426844374,1.1123107441745614e-07,1.5628184387760194e-08
30,22.71607706300382,1.5216887903929738e-07,2.1357428983710658e-08
31,25.2083514143573,2.082252078204893e-07,2.9187107739874928e-08
32,27.974063447102104,2.850187040235709e-07,3.988734948671412e-08
33,31.043213135183343,3.902802278864571e-07,5.451070407809698e-08
34,34.449091873216915,5.346633302160964e-07,7.449574682635498e-08
35,38.22864359180424,7.328768526325323e-07,1.0180871364642029e-07
36,42.42286549229504,1.0052751687976658e-06,1.3913714349237096e-07
37,47.077252747811094,1.3800713219762592e-06,1.9015429745330473e-07
38,52.24229199425044,1.894757071795388e-06,2.598617248877731e-07
39,57.97400896422151,2.5975325118806373e-06,3.550499655994744e-07
40,64.33457620415145,3.5515199796848464e-06,4.849501149080079e-07
41,71.39298746654045,4.839843475429458e-06,6.621140237390713e-07
42,79.22580609256737,6.569919696740955e-06,9.035696815572813e-07
43,87.91799550283257,8.880427488331426e-06,1.2324288083381395e-06
44,97.56384080465978,1.1952845100859776e-05,1.6800219033387735e-06
45,108.26797151272994,1.6012382119601317e-05,2.2887251923181715e-06
46,120.14649647660701,2.1354101493462586e-05,3.115964451274836e-06
47,133.32826332583574,2.833944943886923e-05,4.239041967866443e-06
48,147.95625609394725,3.7430333019356e-05,5.762649404903283e-06
49,164.18914618154898,4.919602057137151e-05,7.827337833363741e-06
50,182.20301348196176,6.434282781248272e-05,1.0622547080042995e-05
51,202.1932563386374,8.374329534004074e-05,1.4402214182139732e-05
52,224.37671105186908,0.0001084539295383845,1.9506759757861678e-05
53,248.99400392531024,0.00013978660415598607,2.639168978765813e-05
54,276.31216136520254,0.00017931912665671278,3.566401227199809e-05
55,306.62750634433587,0.0002289692561491055,4.813151458851578e-05
56,340.26887264899887,0.00029110117060810164,6.486912401649462e-05
57,377.60117177419494,0.00036856735637558636,8.729484255288962e-05
58,419.0293511576207,0.0004648620736864293,0.00011728432966837034
59,465.0027866877929,0.0005843162600684912,0.0001573017392971089
60,516.0201571323282,0.0007321346511109853,0.00021058171418044844
61,572.6348533598218,0.0009148433881901181,0.00028134470591879325
62,635.4609810297297,0.0011406642956764083,0.000375087062693529
63,705.1800218620772,0.0014194109304532189,0.0004989338045244167
64,782.5482257424941,0.0017635660673372337,0.0006620918747014588
65,868.4048138455322,0.002188566975044395,0.0008764118275816325
66,963.6810817564195,0.00271360765953848,0.0011570934227678122
67,1069.410501333785,0.003362671055200021,0.0015235934677039526
68,1186.7399308893398,0.004165749052286431,0.002000754657782148
69,1316.9420552825295,0.005160431006624309,0.002620252774168716
70,1461.4291908691953,0.006393820055519686,0.003422501669187915
71,1621.7686050479979,0.007925936224245487,0.0044591945060883514
72,1799.699516577357,0.009832503759894114,0.005796641125953737
73,1997.151961067167,0.012210788081261614,0.007520531041894776
74,2216.267726281287,0.015185537188494469,0.00974244689353606
75,2459.423584338277,0.018918354077244962,0.012609405549098146
76,2729.2570728125233,0.023622112983945443,0.016317831649906446
77,3028.6951043861523,0.02957662768778411,0.021133529427750784
78,3360.985715383636,0.03715662993478312,0.027422150089918506
79,3729.733297568868,0.04686756543016347,0.03569504519144239
80,4138.93769536777,0.059398571818214584,0.046677638886416656
81,4593.037592608176,0.07570162642853148,0.0614146380668343
82,5096.958659397602,0.09709898015634953,0.08142782828626831
83,5656.166981393226,0.12543608635415632,0.1089517092641895
84,6276.728351017085,0.1632764188195526,0.14726810846909477
85,6965.3740637546225,0.21410230041595693,0.20111256317167814
86,7729.573933236087,0.28230480113562384,0.27690391672387205
87,8577.617317103151,0.3719455536377533,0.3812833225408331
88,9518.703032556996,0.4781664576241618,0.5078734185912829
89,10563.039136911435,0.5857656159793848,0.6318726351051283
90,11721.953655481304,0.6857761698176846,0.7401252174361288
91,13008.01745788361,0.7727820962981568,0.8271700457659403
92,14435.180615603342,0.8439522840346231,0.8921334679692488
93,16018.923719909673,0.8986863733926653,0.9371504506009798
94,17776.425801483398,0.9381540780044315,0.9660278746749509
95,19726.750673198607,0.9647163998286912,0.9830889176802142
96,21891.0537173377,0.9813169511640228,0.9923111288265118
97,24292.811360283824,0.9908907913811021,0.9968356948348394
98,26958.07572382606,0.9959417873244788,0.9988317863109134
99,29915.75721530859,0.9983578312514753,0.9996170833801039
